layer,category,automatic_index,expert_index,automatic_span,expert_span,automatic_label,expert_label,automatic_text,expert_text,score,raw_feature_differences,normalized_feature_differences,exclusion_reason
EVENT_EVIDENCE,EXACT_MATCH,9,10,1747:1758,1747:1758,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,HUMAN_REJECTION_MARKER_EXCLUDED,10,11,1843:1865,1843:1865,TRIGGER_TIME,TRIGGER_TIME,2026-06-10 23:58:04 UT,2026-06-10 23:58:04 UT,1.00000000,"{""certainty"":{""automatic"":""confirmed"",""expert"":""rejected""},""comment"":{""automatic"":""Multiple times have trigger context; the annotator must choose the correct one."",""expert"":""Not the trigger time, this is the start of the observation""},""unit"":{""automatic"":"""",""expert"":""date""}}","{""certainty"":{""automatic"":""confirmed"",""expert"":""rejected""},""comment"":{""automatic"":""Multiple times have trigger context; the annotator must choose the correct one."",""expert"":""Not the trigger time, this is the start of the observation""},""unit"":{""automatic"":"""",""expert"":""date""}}","Expert TRIGGER_TIME annotation has certainty=rejected and an explicit comment identifying an observation time, matching the documented pilot rejection convention."
EVENT_EVIDENCE,HUMAN_REJECTION_MARKER_EXCLUDED,11,12,1913:1935,1913:1935,TRIGGER_TIME,TRIGGER_TIME,2026-06-11 00:31:39 UT,2026-06-11 00:31:39 UT,1.00000000,"{""certainty"":{""automatic"":""confirmed"",""expert"":""rejected""},""comment"":{""automatic"":""Multiple times have trigger context; the annotator must choose the correct one."",""expert"":""Also a time of the observation (the second one)""},""unit"":{""automatic"":"""",""expert"":""date""}}","{""certainty"":{""automatic"":""confirmed"",""expert"":""rejected""},""comment"":{""automatic"":""Multiple times have trigger context; the annotator must choose the correct one."",""expert"":""Also a time of the observation (the second one)""},""unit"":{""automatic"":"""",""expert"":""date""}}","Expert TRIGGER_TIME annotation has certainty=rejected and an explicit comment identifying an observation time, matching the documented pilot rejection convention."
EVENT_EVIDENCE,FEATURE_CHANGED,12,13,2626:2635,2626:2635,EVENT_IDENTITY,EVENT_IDENTITY,AT2026owq,AT2026owq,1.00000000,"{""comment"":{""automatic"":""Event name absent from the subject; verify whether it is an alias of the main event or a referenced/comparison event."",""expert"":""This name is the TNS name, reported by a group, it's an alias""}}","{""comment"":{""automatic"":""Event name absent from the subject; verify whether it is an alias of the main event or a referenced/comparison event."",""expert"":""This name is the TNS name, reported by a group, it's an alias""}}",
EVENT_EVIDENCE,EXPERT_ONLY,,14,,2727:2812,,LOCALIZATION,,"RA,DEC (J2000) = 218.159414, 27.004935, 14:32:38.26, +27:00:17.76",,{},{},
EVENT_EVIDENCE,FEATURE_CHANGED,13,15,2883:2889,2883:2889,LIGHTCURVE_EVOLUTION,LIGHTCURVE_EVOLUTION,fading,fading,1.00000000,"{""comment"":{""automatic"":"""",""expert"":""two points detected and the second one is less bright than the first one, so the source is fading""},""value"":{""automatic"":"""",""expert"":""fading""}}","{""comment"":{""automatic"":"""",""expert"":""two points detected and the second one is less bright than the first one, so the source is fading""},""value"":{""automatic"":"""",""expert"":""fading""}}",
EVENT_EVIDENCE,FEATURE_CHANGED,14,16,3316:3364,3316:3364,COUNTERPART_ASSOCIATION,COUNTERPART_ASSOCIATION,strongly suggest this is the optical counterpart,strongly suggest this is the optical counterpart,1.00000000,"{""comment"":{""automatic"":"""",""expert"":""this text tells us that there is a link between event AT2026owq and the GRB 260610B""}}","{""comment"":{""automatic"":"""",""expert"":""this text tells us that there is a link between event AT2026owq and the GRB 260610B""}}",
EVENT_EVIDENCE,EXACT_MATCH,15,17,3368:3379,3368:3379,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,16,18,4168:4179,4168:4179,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,17,19,4503:4514,4503:4514,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,FEATURE_CHANGED,18,20,4773:4792,4773:4792,COUNTERPART_ASSOCIATION,COUNTERPART_ASSOCIATION,candidate afterglow,candidate afterglow,1.00000000,"{""certainty"":{""automatic"":""candidate"",""expert"":""confirmed""},""comment"":{""automatic"":"""",""expert"":""follow-up of the previous obs""},""value"":{""automatic"":"""",""expert"":""afterglow""}}","{""certainty"":{""automatic"":""candidate"",""expert"":""confirmed""},""comment"":{""automatic"":"""",""expert"":""follow-up of the previous obs""},""value"":{""automatic"":"""",""expert"":""afterglow""}}",
EVENT_EVIDENCE,FEATURE_CHANGED,19,21,4803:4812,4803:4812,EVENT_IDENTITY,EVENT_IDENTITY,AT2026owq,AT2026owq,1.00000000,"{""comment"":{""automatic"":""Event name absent from the subject; verify whether it is an alias of the main event or a referenced/comparison event."",""expert"":""AT 2026owq is associated with GRB 260610B""}}","{""comment"":{""automatic"":""Event name absent from the subject; verify whether it is an alias of the main event or a referenced/comparison event."",""expert"":""AT 2026owq is associated with GRB 260610B""}}",
EVENT_EVIDENCE,RELABELED,20,22,5000:5017,5000:5017,LIGHTCURVE_EVOLUTION,<unset>,continues to fade,continues to fade,1.00000000,"{""comment"":{""automatic"":"""",""expert"":""the source is still fading""},""value"":{""automatic"":"""",""expert"":""fading""}}","{""comment"":{""automatic"":"""",""expert"":""the source is still fading""},""value"":{""automatic"":"""",""expert"":""fading""}}",
EVENT_EVIDENCE,FEATURE_CHANGED,21,23,5048:5053,5048:5053,LIGHTCURVE_EVOLUTION,LIGHTCURVE_EVOLUTION,decay,decay,1.00000000,"{""comment"":{""automatic"":"""",""expert"":""value is: -0.6""},""value"":{""automatic"":"""",""expert"":""fading""}}","{""comment"":{""automatic"":"""",""expert"":""value is: -0.6""},""value"":{""automatic"":"""",""expert"":""fading""}}",
EVENT_EVIDENCE,EXACT_MATCH,22,24,5296:5307,5296:5307,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,23,25,5597:5607,5597:5607,EVENT_IDENTITY,EVENT_IDENTITY,GRB260610B,GRB260610B,1.00000000,{},{},
EVENT_EVIDENCE,FEATURE_CHANGED,24,26,5918:5937,5918:5937,COUNTERPART_ASSOCIATION,COUNTERPART_ASSOCIATION,optical counterpart,optical counterpart,1.00000000,"{""certainty"":{""automatic"":""candidate"",""expert"":""confirmed""},""value"":{""automatic"":"""",""expert"":""optical counterpart""}}","{""certainty"":{""automatic"":""candidate"",""expert"":""confirmed""},""value"":{""automatic"":"""",""expert"":""optical counterpart""}}",
EVENT_EVIDENCE,EXACT_MATCH,25,27,6206:6217,6206:6217,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,26,28,6220:6229,6220:6229,EVENT_IDENTITY,EVENT_IDENTITY,AT2026owq,AT2026owq,1.00000000,{},{},
EVENT_EVIDENCE,FEATURE_CHANGED,27,29,7667:7686,7667:7686,COUNTERPART_ASSOCIATION,COUNTERPART_ASSOCIATION,optical counterpart,optical counterpart,1.00000000,"{""certainty"":{""automatic"":""candidate"",""expert"":""confirmed""}}","{""certainty"":{""automatic"":""candidate"",""expert"":""confirmed""}}",
EVENT_EVIDENCE,EXACT_MATCH,28,30,7688:7697,7688:7697,EVENT_IDENTITY,EVENT_IDENTITY,AT2026owq,AT2026owq,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,29,31,7810:7821,7810:7821,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,FEATURE_CHANGED,30,32,7835:7844,7835:7844,TRIGGER_INSTRUMENT,TRIGGER_INSTRUMENT,Fermi/GBM,Fermi/GBM,1.00000000,"{""comment"":{""automatic"":"""",""expert"":""origin of the detection, not the current instrument""}}","{""comment"":{""automatic"":"""",""expert"":""origin of the detection, not the current instrument""}}",
EVENT_EVIDENCE,EXACT_MATCH,31,33,7900:7909,7900:7909,EVENT_IDENTITY,EVENT_IDENTITY,AT2026owq,AT2026owq,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,32,34,8406:8417,8406:8417,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXPERT_ONLY,,35,,8440:8452,,TRIGGER_TIME,,61201.99044.,,{},{},
EVENT_EVIDENCE,EXACT_MATCH,33,36,8516:8525,8516:8525,EVENT_IDENTITY,EVENT_IDENTITY,AT2026owq,AT2026owq,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,34,37,8706:8737,8706:8737,HOST_CONTEXT,HOST_CONTEXT,host association is not obvious,host association is not obvious,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,35,38,8755:8766,8755:8766,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,36,39,8769:8778,8769:8778,EVENT_IDENTITY,EVENT_IDENTITY,AT2026owq,AT2026owq,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,37,40,8821:8828,8821:8828,REDSHIFT_CONTEXT,REDSHIFT_CONTEXT,z ~ 0.1,z ~ 0.1,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,38,41,9722:9733,9722:9733,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,39,42,9736:9746,9736:9746,EVENT_IDENTITY,EVENT_IDENTITY,AT 2026owq,AT 2026owq,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,40,43,9884:9895,9884:9895,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,41,44,9898:9908,9898:9908,EVENT_IDENTITY,EVENT_IDENTITY,AT 2026owq,AT 2026owq,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,42,45,10683:10692,10683:10692,EVENT_IDENTITY,EVENT_IDENTITY,AT2026owq,AT2026owq,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,43,46,10730:10750,10730:10750,COUNTERPART_ASSOCIATION,COUNTERPART_ASSOCIATION,possible counterpart,possible counterpart,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,44,47,10768:10779,10768:10779,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,45,48,11343:11352,11343:11352,EVENT_IDENTITY,EVENT_IDENTITY,AT2026owq,AT2026owq,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,46,49,11836:11841,11836:11841,LIGHTCURVE_EVOLUTION,LIGHTCURVE_EVOLUTION,decay,decay,1.00000000,{},{},
EVENT_EVIDENCE,FEATURE_CHANGED,47,50,11894:11899,11894:11899,LIGHTCURVE_EVOLUTION,LIGHTCURVE_EVOLUTION,decay,decay,1.00000000,"{""unit"":{""automatic"":"""",""expert"":""index of alpha""},""value"":{""automatic"":"""",""expert"":""-0.6""}}","{""unit"":{""automatic"":"""",""expert"":""index of alpha""},""value"":{""automatic"":"""",""expert"":""-0.6""}}",
EVENT_EVIDENCE,EXACT_MATCH,48,51,12351:12362,12351:12362,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,49,52,12364:12383,12364:12383,COUNTERPART_ASSOCIATION,COUNTERPART_ASSOCIATION,optical counterpart,optical counterpart,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,50,53,12404:12423,12404:12423,REDSHIFT_EVENT,REDSHIFT_EVENT,redshift of z=0.473,redshift of z=0.473,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,51,54,12873:12882,12873:12882,EVENT_IDENTITY,EVENT_IDENTITY,AT2026owq,AT2026owq,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,52,55,13038:13064,13038:13064,COUNTERPART_ASSOCIATION,COUNTERPART_ASSOCIATION,the optical counterpart of,the optical counterpart of,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,53,56,13065:13076,13065:13076,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,54,57,13334:13370,13334:13370,SPECTROSCOPY,SPECTROSCOPY,We obtained spectroscopy with ALFOSC,We obtained spectroscopy with ALFOSC,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,55,58,13466:13501,13466:13501,SPECTROSCOPY,SPECTROSCOPY,Mg II and Ca II absorption features,Mg II and Ca II absorption features,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,56,59,13514:13533,13514:13533,REDSHIFT_EVENT,REDSHIFT_EVENT,redshift of z=0.473,redshift of z=0.473,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,57,60,13574:13585,13574:13585,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,58,61,15186:15197,15186:15197,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,59,62,15200:15209,15200:15209,EVENT_IDENTITY,EVENT_IDENTITY,AT2026owq,AT2026owq,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,60,63,15500:15511,15500:15511,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,HUMAN_REJECTION_MARKER_EXCLUDED,61,64,15719:15730,15719:15730,TRIGGER_TIME,TRIGGER_TIME,19:43:01 UT,19:43:01 UT,1.00000000,"{""certainty"":{""automatic"":""confirmed"",""expert"":""rejected""},""comment"":{""automatic"":""Trigger time without an adjacent date in the text; the annotator must complete the date (for example, from the event name or context)."",""expert"":""Start of obs, not trigger time""}}","{""certainty"":{""automatic"":""confirmed"",""expert"":""rejected""},""comment"":{""automatic"":""Trigger time without an adjacent date in the text; the annotator must complete the date (for example, from the event name or context)."",""expert"":""Start of obs, not trigger time""}}","Expert TRIGGER_TIME annotation has certainty=rejected and an explicit comment identifying an observation time, matching the documented pilot rejection convention."
EVENT_EVIDENCE,EXACT_MATCH,62,65,16388:16399,16388:16399,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,63,66,16885:16896,16885:16896,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,64,67,18192:18203,18192:18203,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,65,68,18206:18215,18206:18215,EVENT_IDENTITY,EVENT_IDENTITY,AT2026owq,AT2026owq,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,66,69,18367:18385,18367:18385,COUNTERPART_ASSOCIATION,COUNTERPART_ASSOCIATION,the counterpart of,the counterpart of,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,67,70,18386:18397,18386:18397,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,68,71,18698:18717,18698:18717,COUNTERPART_ASSOCIATION,COUNTERPART_ASSOCIATION,optical counterpart,optical counterpart,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,69,72,18736:18745,18736:18745,EVENT_IDENTITY,EVENT_IDENTITY,AT2026owq,AT2026owq,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,70,73,19286:19297,19286:19297,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,71,74,19300:19309,19300:19309,EVENT_IDENTITY,EVENT_IDENTITY,AT2026owq,AT2026owq,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,72,75,19717:19726,19717:19726,EVENT_IDENTITY,EVENT_IDENTITY,AT2026owq,AT2026owq,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,73,76,19966:19986,19966:19986,COUNTERPART_ASSOCIATION,COUNTERPART_ASSOCIATION,possible counterpart,possible counterpart,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,74,77,19990:20001,19990:20001,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,HUMAN_REJECTION_MARKER_EXCLUDED,75,78,20058:20081,20058:20081,TRIGGER_TIME,TRIGGER_TIME,2026-06-11T13:05:40 UTC,2026-06-11T13:05:40 UTC,1.00000000,"{""certainty"":{""automatic"":""confirmed"",""expert"":""rejected""},""comment"":{""automatic"":"""",""expert"":""start of observation""}}","{""certainty"":{""automatic"":""confirmed"",""expert"":""rejected""},""comment"":{""automatic"":"""",""expert"":""start of observation""}}","Expert TRIGGER_TIME annotation has certainty=rejected and an explicit comment identifying an observation time, matching the documented pilot rejection convention."
EVENT_EVIDENCE,EXACT_MATCH,76,79,21108:21119,21108:21119,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610b,GRB 260610b,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,77,80,21359:21378,21359:21378,COUNTERPART_ASSOCIATION,COUNTERPART_ASSOCIATION,optical counterpart,optical counterpart,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,78,81,21410:21421,21410:21421,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610b,GRB 260610b,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,79,82,22590:22601,22590:22601,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,80,83,22604:22613,22604:22613,EVENT_IDENTITY,EVENT_IDENTITY,AT2026owq,AT2026owq,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,81,84,22912:22923,22912:22923,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,82,85,23805:23816,23805:23816,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,83,86,23819:23828,23819:23828,EVENT_IDENTITY,EVENT_IDENTITY,AT2026owq,AT2026owq,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,84,87,24671:24687,24671:24687,CLASSIFICATION_INTERPRETATION,CLASSIFICATION_INTERPRETATION,Long GRB 260610B,Long GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,85,88,24676:24687,24676:24687,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,86,89,24832:24849,24832:24849,COUNTERPART_ASSOCIATION,COUNTERPART_ASSOCIATION,optical afterglow,optical afterglow,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,87,90,26456:26467,26456:26467,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,88,91,26670:26700,26670:26700,TRIGGER_TIME,TRIGGER_TIME,23:46:14.25 UT on 10 June 2026,23:46:14.25 UT on 10 June 2026,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,89,92,26764:26775,26764:26775,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,90,93,26810:26829,26810:26829,COUNTERPART_ASSOCIATION,COUNTERPART_ASSOCIATION,optical counterpart,optical counterpart,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,91,94,26932:26941,26932:26941,REDSHIFT_EVENT,REDSHIFT_EVENT,z = 0.473,z = 0.473,1.00000000,{},{},
EVENT_EVIDENCE,FEATURE_CHANGED,92,95,27165:27193,27165:27193,T90,T90,duration (T90) of about 62 s,duration (T90) of about 62 s,1.00000000,"{""certainty"":{""automatic"":""tentative"",""expert"":""confirmed""},""value"":{""automatic"":""about 62"",""expert"":""~ 62""}}","{""certainty"":{""automatic"":""tentative"",""expert"":""confirmed""},""value"":{""automatic"":""about 62"",""expert"":""~ 62""}}",
EVENT_EVIDENCE,EXACT_MATCH,93,96,27340:27373,27340:27373,HIGH_ENERGY_PROPERTY,HIGH_ENERGY_PROPERTY,power law index is -1.50 +/- 0.01,power law index is -1.50 +/- 0.01,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,94,97,27414:27440,27414:27440,HIGH_ENERGY_PROPERTY,HIGH_ENERGY_PROPERTY,"Epeak, is 46.8 +/- 0.4 keV","Epeak, is 46.8 +/- 0.4 keV",1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,95,98,27447:27528,27447:27528,HIGH_ENERGY_PROPERTY,HIGH_ENERGY_PROPERTY,event fluence (10-1000 keV) in this time interval is (1.30 +/- 0.02)E-05 erg/cm^2,event fluence (10-1000 keV) in this time interval is (1.30 +/- 0.02)E-05 erg/cm^2,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,96,99,27534:27637,27534:27637,HIGH_ENERGY_PROPERTY,HIGH_ENERGY_PROPERTY,1-sec peak photon flux measured starting from T0+3.8 s in the 10-1000 keV band is 7.7 +/- 0.3 ph/s/cm^2,1-sec peak photon flux measured starting from T0+3.8 s in the 10-1000 keV band is 7.7 +/- 0.3 ph/s/cm^2,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,97,100,27692:27715,27692:27715,HIGH_ENERGY_PROPERTY,HIGH_ENERGY_PROPERTY,Epeak= 45.9 +/- 0.5 keV,Epeak= 45.9 +/- 0.5 keV,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,98,101,27717:27743,27717:27743,HIGH_ENERGY_PROPERTY,HIGH_ENERGY_PROPERTY,alpha = -1.4800 +/- 0.0009,alpha = -1.4800 +/- 0.0009,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,99,102,27748:27769,27748:27769,HIGH_ENERGY_PROPERTY,HIGH_ENERGY_PROPERTY,beta = -3.17 +/- 0.01,beta = -3.17 +/- 0.01,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,100,103,28120:28131,28120:28131,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,101,104,28379:28398,28379:28398,COUNTERPART_ASSOCIATION,COUNTERPART_ASSOCIATION,optical counterpart,optical counterpart,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,102,105,28430:28441,28430:28441,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610b,GRB 260610b,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,103,106,29700:29711,29700:29711,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,104,107,30106:30117,30106:30117,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXPERT_ONLY,,108,,30398:30447,,LOCALIZATION,,RA (J2000) = 14:32:38.2 Dec (J2000) = +27:00:17.6,,{},{},
EVENT_EVIDENCE,EXACT_MATCH,105,109,30744:30755,30744:30755,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,FEATURE_CHANGED,106,110,31031:31039,31031:31039,TRIGGER_INSTRUMENT,TRIGGER_INSTRUMENT,SVOM/GRM,SVOM/GRM,1.00000000,"{""comment"":{""automatic"":""Multiple instruments have trigger context; the annotator must confirm the primary one."",""expert"":""in this context, this is the instrument triggered""}}","{""comment"":{""automatic"":""Multiple instruments have trigger context; the annotator must confirm the primary one."",""expert"":""in this context, this is the instrument triggered""}}",
EVENT_EVIDENCE,EXACT_MATCH,107,111,31075:31086,31075:31086,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,108,112,31090:31117,31090:31117,TRIGGER_TIME,TRIGGER_TIME,2026-06-10T23:46:14.100 UTC,2026-06-10T23:46:14.100 UTC,1.00000000,{},{},
